"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0603_1608Metric","7.5945mm","19.05mm","7.5945mm","19.05mm","8.382mm","19.05mm","T","180","4.7uF",
"C2","C_0603_1608Metric","6.604mm","21.59mm","6.604mm","21.59mm","6.604mm","20.8025mm","T","90","4.7uF",
"C3","C_0603_1608Metric","8.382mm","21.59mm","8.382mm","21.59mm","8.382mm","20.8025mm","T","90","0.1uF",
"C4","C_0603_1608Metric","21.082mm","10.6935mm","21.082mm","10.6935mm","21.082mm","9.906mm","T","90","0.1uF",
"C5","C_0603_1608Metric","30.48mm","2.794mm","30.48mm","2.794mm","31.2675mm","2.794mm","T","180","0.1uF",
"C6","C_0603_1608Metric","21.209mm","15.494mm","21.209mm","15.494mm","21.209mm","16.2815mm","T","270","0.1uF",
"FB1","L_0603_1608Metric","10.668mm","8.382mm","10.668mm","8.382mm","10.668mm","7.5945mm","T","90","100R@100M",
"IO_A1","PinSocket_1x5_P2.54mm_SMD","40.894mm","16.764mm","40.894mm","16.764mm","40.894mm","16.764mm","T","0","Conn_01x05",
"R1","R_0603_1608Metric","11.43mm","13.208mm","11.43mm","13.208mm","12.2175mm","13.208mm","T","180","22",
"R10","R_0603_1608Metric","36.322mm","9.398mm","36.322mm","9.398mm","35.5345mm","9.398mm","T","0","150",
"R11","R_0603_1608Metric","36.322mm","7.874mm","36.322mm","7.874mm","37.1095mm","7.874mm","T","180","150",
"R12","R_0603_1608Metric","36.322mm","6.35mm","36.322mm","6.35mm","35.5345mm","6.35mm","T","0","150",
"R13","R_0603_1608Metric","21.082mm","7.5945mm","21.082mm","7.5945mm","21.082mm","6.807mm","T","90","4.7k",
"R14","R_0603_1608Metric","21.59mm","2.286mm","21.59mm","2.286mm","21.59mm","3.0735mm","T","270","4.7k",
"R15","R_0603_1608Metric","23.114mm","2.286mm","23.114mm","2.286mm","23.114mm","3.0735mm","T","270","22, NC",
"R16","R_0603_1608Metric","23.495mm","16.256mm","23.495mm","16.256mm","22.7075mm","16.256mm","T","0","10k, NC",
"R17","R_0603_1608Metric","30.48mm","20.066mm","30.48mm","20.066mm","30.48mm","19.2785mm","T","90","10k, NC",
"R18","R_0603_1608Metric","19.685mm","15.494mm","19.685mm","15.494mm","19.685mm","14.7065mm","T","90","10k, NC",
"R2","R_0603_1608Metric","11.43mm","14.732mm","11.43mm","14.732mm","12.2175mm","14.732mm","T","180","22",
"R3","R_0603_1608Metric","33.02mm","20.32mm","33.02mm","20.32mm","32.2325mm","20.32mm","T","0","4.7k",
"R4","R_0603_1608Metric","33.02mm","21.844mm","33.02mm","21.844mm","32.2325mm","21.844mm","T","0","4.7k",
"R5","R_0603_1608Metric","36.322mm","17.018mm","36.322mm","17.018mm","37.1095mm","17.018mm","T","180","150",
"R6","R_0603_1608Metric","36.322mm","15.494mm","36.322mm","15.494mm","37.1095mm","15.494mm","T","180","150",
"R7","R_0603_1608Metric","36.322mm","13.97mm","36.322mm","13.97mm","37.1095mm","13.97mm","T","180","150",
"R8","R_0603_1608Metric","36.322mm","12.446mm","36.322mm","12.446mm","35.5345mm","12.446mm","T","0","150",
"R9","R_0603_1608Metric","36.322mm","10.922mm","36.322mm","10.922mm","37.1095mm","10.922mm","T","180","150",
"U1_LQFP48","LQFP-48_7x7mm_P0.5mm","27.305mm","9.132mm","27.305mm","9.132mm","23.1425mm","11.882mm","T","0","GD32F350Cx",
"U1_QFN28","QFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm","27.178mm","9.271mm","27.178mm","9.271mm","25.1405mm","10.471mm","T","0","GD32F350Gx",
"U2","SOT-223-3_TabPin2","14.478mm","19.558mm","14.478mm","19.558mm","11.328mm","21.858mm","T","0","AP1117-33",
"U3","SOIC-8_P1.27mm_Common","23.876mm","20.066mm","23.876mm","20.066mm","26.976mm","18.161mm","T","180","W25Q64, NC",
"IO_B1","PinSocket_1x5_P2.54mm_SMD","40.894mm","16.764mm","40.894mm","16.764mm","40.894mm","16.764mm","B","180","Conn_01x05",
"TP1","TestPoint_Pad_D1.0mm","13.716mm","17.272mm","13.716mm","17.272mm","13.716mm","17.272mm","B","0","TestPoint",
"TP2","TestPoint_Pad_D1.0mm","5.334mm","5.08mm","5.334mm","5.08mm","5.334mm","5.08mm","B","0","TestPoint",
"TP3","TestPoint_Pad_D1.0mm","7.874mm","5.08mm","7.874mm","5.08mm","7.874mm","5.08mm","B","0","TestPoint",
"TP4","TestPoint_Pad_D1.0mm","10.414mm","5.08mm","10.414mm","5.08mm","10.414mm","5.08mm","B","0","TestPoint",
"TP5","TestPoint_Pad_D1.0mm","12.954mm","5.08mm","12.954mm","5.08mm","12.954mm","5.08mm","B","0","TestPoint",
"TP6","TestPoint_Pad_D1.0mm","19.05mm","5.08mm","19.05mm","5.08mm","19.05mm","5.08mm","B","0","TestPoint",
"TP7","TestPoint_Pad_D1.0mm","23.114mm","8.382mm","23.114mm","8.382mm","23.114mm","8.382mm","B","0","TestPoint",
"TP8","TestPoint_Pad_D1.0mm","23.114mm","6.731mm","23.114mm","6.731mm","23.114mm","6.731mm","B","0","TestPoint",
"Through Hole Items ",
"J1","USB_Mini-B_Lumberg_2486_01_Horizontal","4.318mm","11.684mm","4.318mm","11.684mm","7.018mm","13.284mm","T","270","USB_B_Mini",
"J2","PinHeader_1x05_P2.54mm_Vertical","2.794mm","2.54mm","2.794mm","2.54mm","2.794mm","2.54mm","T","90","Conn_01x05",
"J3","PinHeader_1x02_P2.54mm_Vertical","19.05mm","2.54mm","19.05mm","2.54mm","19.05mm","2.54mm","T","270","Conn_01x02",
"LED1","LED_D3.0mm-3","36.506mm","20.922mm","36.506mm","20.922mm","36.506mm","20.922mm","T","0","LED_Dual_ACA",
"SW1","SW_PUSH_4.5mm_Hxx","36.296mm","4.322mm","36.296mm","4.322mm","41.796mm","4.322mm","T","0","SW_Push",
